+-----------------------------+--------------------------------------------------------+------------------------------------+--------+
| Mod name                    | Registry name                                          | Entity class name                  |     ID |
| Advent Of Ascension         | aoa3:arcbeast                                          | EntityArcbeast                     |     11 |
| Advent Of Ascension         | aoa3:archvine                                          | EntityArchvine                     |     12 |
| Advent Of Ascension         | aoa3:arcworm                                           | EntityArcworm                      |     13 |
| Advent Of Ascension         | aoa3:arcworm_shot                                      | EntityArcwormShot                  |    526 |
| Advent Of Ascension         | aoa3:ariel                                             | EntityAriel                        |     14 |
| Advent Of Ascension         | aoa3:arkback                                           | EntityArkback                      |     15 |
| Advent Of Ascension         | aoa3:arkzyne                                           | EntityArkzyne                      |     16 |
| Advent Of Ascension         | aoa3:arocknid                                          | EntityArocknid                     |     17 |
| Advent Of Ascension         | aoa3:assassin                                          | EntityAssassin                     |    413 |
| Advent Of Ascension         | aoa3:atomizer_bounce                                   | EntityAtomizerBounce               |    529 |
| Advent Of Ascension         | aoa3:atomizer_shot                                     | EntityAtomizerShot                 |    530 |
| Advent Of Ascension         | aoa3:augury_master                                     | EntityAuguryMaster                 |    414 |
| Advent Of Ascension         | aoa3:automaton                                         | EntityAutomaton                    |     18 |
| Advent Of Ascension         | aoa3:awareness_tablet                                  | EntityAwarenessTablet              |    499 |
| Advent Of Ascension         | aoa3:axiolight                                         | EntityAxiolight                    |     19 |
| Advent Of Ascension         | aoa3:bane                                              | EntityBane                         |     20 |
| Advent Of Ascension         | aoa3:bane_big                                          | EntityBaneBig                      |    500 |
| Advent Of Ascension         | aoa3:bane_clone                                        | EntityBaneClone                    |    501 |
| Advent Of Ascension         | aoa3:banshee                                           | EntityBanshee                      |     21 |
| Advent Of Ascension         | aoa3:baron_bomb                                        | EntityBaronBomb                    |    502 |
| Advent Of Ascension         | aoa3:baron_lottoman                                    | EntityBaronLottoman                |    415 |
| Advent Of Ascension         | aoa3:baron_shot                                        | EntityBaronShot                    |    531 |
| Advent Of Ascension         | aoa3:baroness                                          | EntityBaroness                     |     22 |
| Advent Of Ascension         | aoa3:baroness_shot                                     | EntityBaronessShot                 |    532 |
| Advent Of Ascension         | aoa3:basilisk                                          | EntityBasilisk                     |     23 |
| Advent Of Ascension         | aoa3:baumba                                            | EntityBaumba                       |     24 |
| Advent Of Ascension         | aoa3:beamer_shot                                       | EntityBeamerShot                   |    533 |
| Advent Of Ascension         | aoa3:black_ursa                                        | EntityBlackUrsa                    |     25 |
| Advent Of Ascension         | aoa3:blissard                                          | EntityBlissard                     |    384 |
| Advent Of Ascension         | aoa3:blood_drainer                                     | EntityBloodDrainer                 |    534 |
| Advent Of Ascension         | aoa3:bloodball                                         | EntityBloodball                    |    535 |
| Advent Of Ascension         | aoa3:bloodlust                                         | EntityBloodlust                    |    503 |
| Advent Of Ascension         | aoa3:bloodmist                                         | EntityBloodmist                    |     26 |
| Advent Of Ascension         | aoa3:bloodsucker                                       | EntityBloodsucker                  |     27 |
| Advent Of Ascension         | aoa3:blooming_pixon                                    | EntityBloomingPixon                |    416 |
| Advent Of Ascension         | aoa3:blue_flower                                       | EntityBlueFlower                   |     28 |
| Advent Of Ascension         | aoa3:blue_guardian                                     | EntityBlueGuardian                 |     29 |
| Advent Of Ascension         | aoa3:blue_guardian_shot                                | EntityBlueGuardianShot             |    536 |
| Advent Of Ascension         | aoa3:blue_rune_templar                                 | EntityRuneTemplarBlue              |     30 |
| Advent Of Ascension         | aoa3:blue_runic_lifeform                               | EntityRunicLifeformBlue            |     31 |
| Advent Of Ascension         | aoa3:bobo                                              | EntityBobo                         |     32 |
| Advent Of Ascension         | aoa3:bomb_carrier                                      | EntityBombCarrier                  |     33 |
| Advent Of Ascension         | aoa3:bone_creature                                     | EntityBoneCreature                 |     34 |
| Advent Of Ascension         | aoa3:bone_creeper                                      | EntityBoneCreeper                  |     35 |
| Advent Of Ascension         | aoa3:bone_pellet                                       | EntityBonePellet                   |    537 |
| Advent Of Ascension         | aoa3:boneback                                          | EntityBoneback                     |     36 |
| Advent Of Ascension         | aoa3:boreic_lottoman                                   | EntityBoreicLottoman               |    417 |
| Advent Of Ascension         | aoa3:boss_item                                         | EntityBossItem                     |    504 |
| Advent Of Ascension         | aoa3:bouncer                                           | EntityBouncer                      |     37 |
| Advent Of Ascension         | aoa3:bozo_ball                                         | EntityBozoBall                     |    538 |
| Advent Of Ascension         | aoa3:breeding_tablet                                   | EntityBreedingTablet               |    505 |
| Advent Of Ascension         | aoa3:broccohead                                        | EntityBroccohead                   |     38 |
| Advent Of Ascension         | aoa3:brute                                             | EntityBrute                        |     39 |
| Advent Of Ascension         | aoa3:bubble_shot                                       | EntityBubbleShot                   |    539 |
| Advent Of Ascension         | aoa3:bugeye                                            | EntityBugeye                       |     40 |
| Advent Of Ascension         | aoa3:bullet_bone                                       | EntityBoneBullet                   |    540 |
| Advent Of Ascension         | aoa3:bullet_shot                                       | EntityBulletShot                   |    541 |
| Advent Of Ascension         | aoa3:bush_baby                                         | EntityBushBaby                     |     41 |
| Advent Of Ascension         | aoa3:butchery_master                                   | EntityButcheryMaster               |    418 |
| Advent Of Ascension         | aoa3:candied_lottoman                                  | EntityCandiedLottoman              |    419 |
| Advent Of Ascension         | aoa3:candy_corny                                       | EntityCandyCorny                   |     42 |
| Advent Of Ascension         | aoa3:cane_bug                                          | EntityCaneBug                      |     43 |
| Advent Of Ascension         | aoa3:cannonball                                        | EntityCannonball                   |    542 |
| Advent Of Ascension         | aoa3:cannonball_balloon_bomb                           | EntityBalloonBomb                  |    543 |
| Advent Of Ascension         | aoa3:cannonball_blue_heavy                             | EntityHeavyBlueCannonball          |    544 |
| Advent Of Ascension         | aoa3:cannonball_carrot                                 | EntityCarrotBall                   |    545 |
| Advent Of Ascension         | aoa3:cannonball_clown_ball                             | EntityClownBall                    |    546 |
| Advent Of Ascension         | aoa3:cannonball_energy_shot                            | EntityEnergyShot                   |    547 |
| Advent Of Ascension         | aoa3:cannonball_erebon_stickler                        | EntityErebonSticklerShot           |    548 |
| Advent Of Ascension         | aoa3:cannonball_erebon_stickler_stuck                  | EntityErebonSticklerStuck          |    549 |
| Advent Of Ascension         | aoa3:cannonball_flower_ball                            | EntityFlowerBall                   |    550 |
| Advent Of Ascension         | aoa3:cannonball_fungal_ball                            | EntityFungalBall                   |    551 |
| Advent Of Ascension         | aoa3:cannonball_ghoul_ball                             | EntityGhoulBall                    |    552 |
| Advent Of Ascension         | aoa3:cannonball_golden                                 | EntityGoldenCannonball             |    553 |
| Advent Of Ascension         | aoa3:cannonball_green_ball_giga                        | EntityGigaGreenBall                |    557 |
| Advent Of Ascension         | aoa3:cannonball_green_ball_mini                        | EntityMiniGreenBall                |    554 |
| Advent Of Ascension         | aoa3:cannonball_green_ball_super                       | EntitySuperGreenBall               |    555 |
| Advent Of Ascension         | aoa3:cannonball_green_ball_ultra                       | EntityUltraGreenBall               |    556 |
| Advent Of Ascension         | aoa3:cannonball_heavy                                  | EntityHeavyCannonball              |    558 |
| Advent Of Ascension         | aoa3:cannonball_heavy_bone                             | EntityHeavyBoneCannonball          |    559 |
| Advent Of Ascension         | aoa3:cannonball_heavy_red                              | EntityHeavyCannonballRed           |    560 |
| Advent Of Ascension         | aoa3:cannonball_heavy_shadowball                       | EntityHeavyShadowball              |    561 |
| Advent Of Ascension         | aoa3:cannonball_heavy_wither                           | EntityHeavyWitherBall              |    562 |
| Advent Of Ascension         | aoa3:cannonball_hive_ball                              | EntityHiveBall                     |    563 |
| Advent Of Ascension         | aoa3:cannonball_luxon_stickler                         | EntityLuxonSticklerShot            |    564 |
| Advent Of Ascension         | aoa3:cannonball_luxon_stickler_stuck                   | EntityLuxonSticklerStuck           |    565 |
| Advent Of Ascension         | aoa3:cannonball_moon_shot                              | EntityMoonShot                     |    566 |
| Advent Of Ascension         | aoa3:cannonball_orange                                 | EntityOrangeCannonball             |    567 |
| Advent Of Ascension         | aoa3:cannonball_pluton_stickler                        | EntityPlutonSticklerShot           |    568 |
| Advent Of Ascension         | aoa3:cannonball_pluton_stickler_stuck                  | EntityPlutonSticklerStuck          |    569 |
| Advent Of Ascension         | aoa3:cannonball_selyan_stickler                        | EntitySelyanSticklerShot           |    570 |
| Advent Of Ascension         | aoa3:cannonball_selyan_stickler_stuck                  | EntitySelyanSticklerStuck          |    571 |
| Advent Of Ascension         | aoa3:cannonball_smile_blaster                          | EntitySmileBlaster                 |    572 |
| Advent Of Ascension         | aoa3:cannonball_smiley                                 | EntitySmileyCannonball             |    573 |
| Advent Of Ascension         | aoa3:cannonball_sticky_bomb_cool                       | EntityStickyCoolBomb               |    574 |
| Advent Of Ascension         | aoa3:cannonball_sticky_bomb_red                        | EntityStickyRedBomb                |    575 |
| Advent Of Ascension         | aoa3:cannonball_vox_cannon                             | EntityVoxCannon                    |    576 |
| Advent Of Ascension         | aoa3:cannonball_water_balloon_bomb                     | EntityWaterBalloonBomb             |    577 |
| Advent Of Ascension         | aoa3:carrotop                                          | EntityCarrotop                     |     44 |
| Advent Of Ascension         | aoa3:case_construct                                    | EntityCaseConstruct                |     45 |
| Advent Of Ascension         | aoa3:cave_creep                                        | EntityCaveCreep                    |     46 |
| Advent Of Ascension         | aoa3:cave_creepoid                                     | EntityCaveCreepoid                 |     47 |
| Advent Of Ascension         | aoa3:celestial_fall                                    | EntityCelestialFall                |    578 |
| Advent Of Ascension         | aoa3:celevian_lottoman                                 | EntityCelevianLottoman             |    420 |
| Advent Of Ascension         | aoa3:centinel                                          | EntityCentinel                     |     48 |
| Advent Of Ascension         | aoa3:chakram                                           | EntityChakram                      |    579 |
| Advent Of Ascension         | aoa3:charger                                           | EntityCharger                      |     49 |
| Advent Of Ascension         | aoa3:cherry_barrager                                   | EntityCherryBarrager               |     50 |
| Advent Of Ascension         | aoa3:cherry_blaster                                    | EntityCherryBlaster                |     51 |
| Advent Of Ascension         | aoa3:cherry_shot                                       | EntityCherryShot                   |    580 |
| Advent Of Ascension         | aoa3:chilli_shot                                       | EntityChilliShot                   |    581 |
| Advent Of Ascension         | aoa3:chimera                                           | EntityChimera                      |     52 |
| Advent Of Ascension         | aoa3:chocko                                            | EntityChocko                       |     53 |
| Advent Of Ascension         | aoa3:chomper                                           | EntityChomper                      |     54 |
| Advent Of Ascension         | aoa3:cleansing_tablet                                  | EntityCleansingTablet              |    506 |
| Advent Of Ascension         | aoa3:clown                                             | EntityClown                        |     55 |
| Advent Of Ascension         | aoa3:clown_shot                                        | EntityClownShot                    |    582 |
| Advent Of Ascension         | aoa3:clunkhead                                         | EntityClunkhead                    |     56 |
| Advent Of Ascension         | aoa3:compeer                                           | EntityCompeer                      |    385 |
| Advent Of Ascension         | aoa3:confetti_cluster                                  | EntityConfettiCluster              |    583 |
| Advent Of Ascension         | aoa3:confetti_shot                                     | EntityConfettiShot                 |    584 |
| Advent Of Ascension         | aoa3:coniferon                                         | EntityConiferon                    |     57 |
| Advent Of Ascension         | aoa3:construct_flight                                  | EntityConstructFlight              |     58 |
| Advent Of Ascension         | aoa3:construct_mind                                    | EntityConstructMind                |     59 |
| Advent Of Ascension         | aoa3:construct_of_servility                            | EntityConstructOfServility         |    386 |
| Advent Of Ascension         | aoa3:construct_range                                   | EntityConstructRange               |     60 |
| Advent Of Ascension         | aoa3:construct_resistance                              | EntityConstructResistance          |     61 |
| Advent Of Ascension         | aoa3:construct_shot                                    | EntityConstructShot                |    585 |
| Advent Of Ascension         | aoa3:construct_speed                                   | EntityConstructSpeed               |     62 |
| Advent Of Ascension         | aoa3:construct_strength                                | EntityConstructStrength            |     63 |
| Advent Of Ascension         | aoa3:construct_terror                                  | EntityConstructTerror              |     64 |
| Advent Of Ascension         | aoa3:corallus                                          | EntityCorallus                     |     65 |
| Advent Of Ascension         | aoa3:corallus_shot                                     | EntityCorallusShot                 |    586 |
| Advent Of Ascension         | aoa3:coralon                                           | EntityCoralon                      |     66 |
| Advent Of Ascension         | aoa3:coratee                                           | EntityCoratee                      |    421 |
| Advent Of Ascension         | aoa3:corby                                             | EntityCorby                        |    387 |
| Advent Of Ascension         | aoa3:corny                                             | EntityCorny                        |     67 |
| Advent Of Ascension         | aoa3:corrupted_traveller                               | EntityCorruptedTraveller           |    422 |
| Advent Of Ascension         | aoa3:cotton_candor                                     | EntityCottonCandor                 |     68 |
| Advent Of Ascension         | aoa3:cotton_candor_shot                                | EntityCottonCandorShot             |    587 |
| Advent Of Ascension         | aoa3:craexxeus                                         | EntityCraexxeus                    |     69 |
| Advent Of Ascension         | aoa3:craexxeus_nuke                                    | EntityCraexxeusNuke                |    588 |
| Advent Of Ascension         | aoa3:craexxeus_shot                                    | EntityCraexxeusShot                |    589 |
| Advent Of Ascension         | aoa3:craggy                                            | EntityCraggy                       |    388 |
| Advent Of Ascension         | aoa3:creation_master                                   | EntityCreationMaster               |    423 |
| Advent Of Ascension         | aoa3:creep                                             | EntityCreep                        |     70 |
| Advent Of Ascension         | aoa3:creep_banker                                      | EntityCreepBanker                  |    424 |
| Advent Of Ascension         | aoa3:creep_bomb                                        | EntityCreepBomb                    |    590 |
| Advent Of Ascension         | aoa3:creep_cow                                         | EntityCreepCow                     |    425 |
| Advent Of Ascension         | aoa3:creep_tube                                        | EntityCreepTube                    |    591 |
| Advent Of Ascension         | aoa3:creeper_shot                                      | EntityCreeperShot                  |    592 |
| Advent Of Ascension         | aoa3:creeperlock                                       | EntityCreeperlock                  |     71 |
| Advent Of Ascension         | aoa3:creepird                                          | EntityCreepird                     |     72 |
| Advent Of Ascension         | aoa3:creeponia_lottoman                                | EntityCreeponiaLottoman            |    426 |
| Advent Of Ascension         | aoa3:creepuple                                         | EntityCreepuple                    |     73 |
| Advent Of Ascension         | aoa3:crusilisk                                         | EntityCrusilisk                    |     74 |
| Advent Of Ascension         | aoa3:cryptid                                           | EntityCryptid                      |     75 |
| Advent Of Ascension         | aoa3:crystal_lottoman                                  | EntityCrystalLottoman              |    427 |
| Advent Of Ascension         | aoa3:crystal_trader                                    | EntityCrystalTrader                |    428 |
| Advent Of Ascension         | aoa3:crystocore                                        | EntityCrystocore                   |     76 |
| Advent Of Ascension         | aoa3:cyan_shot                                         | EntityCyanShot                     |    593 |
| Advent Of Ascension         | aoa3:cyclops                                           | EntityCyclops                      |     77 |
| Advent Of Ascension         | aoa3:dark_beast                                        | EntityDarkBeast                    |     78 |
| Advent Of Ascension         | aoa3:dawnlight                                         | EntityDawnlight                    |     79 |
| Advent Of Ascension         | aoa3:daysee                                            | EntityDaysee                       |     80 |
| Advent Of Ascension         | aoa3:dead_tree                                         | EntityDeadTree                     |     81 |
| Advent Of Ascension         | aoa3:death_hunter                                      | EntityDeathHunter                  |     82 |
| Advent Of Ascension         | aoa3:death_ray                                         | EntityDeathRay                     |    594 |
| Advent Of Ascension         | aoa3:deinotherium                                      | EntityDeinotherium                 |     83 |
| Advent Of Ascension         | aoa3:demon_reaper                                      | EntityDemonReaper                  |     84 |
| Advent Of Ascension         | aoa3:desert_charger                                    | EntityDesertCharger                |     85 |
| Advent Of Ascension         | aoa3:destroyer_shot                                    | EntityDestroyerShot                |    595 |
| Advent Of Ascension         | aoa3:destruction_shot                                  | EntityDestructionShot              |    596 |
| Advent Of Ascension         | aoa3:destructor                                        | EntityDestructor                   |     86 |
| Advent Of Ascension         | aoa3:devourer                                          | EntityDevourer                     |     87 |
| Advent Of Ascension         | aoa3:dicer                                             | EntityDicer                        |     88 |
| Advent Of Ascension         | aoa3:diocus                                            | EntityDiocus                       |     89 |
| Advent Of Ascension         | aoa3:discharge_shot                                    | EntityDischargeShot                |    597 |
| Advent Of Ascension         | aoa3:discharge_slug                                    | EntityDischargeSlug                |    598 |
| Advent Of Ascension         | aoa3:distorter                                         | EntityDistorter                    |     90 |
| Advent Of Ascension         | aoa3:distortion_tablet                                 | EntityDistortionTablet             |    507 |
| Advent Of Ascension         | aoa3:doom_shot                                         | EntityDoomShot                     |    599 |
| Advent Of Ascension         | aoa3:doubler                                           | EntityDoubler                      |     91 |
| Advent Of Ascension         | aoa3:dracyon                                           | EntityDracyon                      |     92 |
| Advent Of Ascension         | aoa3:draggy                                            | EntityDraggy                       |    389 |
| Advent Of Ascension         | aoa3:dungeon_keeper                                    | EntityDungeonKeeper                |    429 |
| Advent Of Ascension         | aoa3:dust_strider                                      | EntityDustStrider                  |     93 |
| Advent Of Ascension         | aoa3:dusteiva                                          | EntityDusteiva                     |     94 |
| Advent Of Ascension         | aoa3:duston                                            | EntityDuston                       |     95 |
| Advent Of Ascension         | aoa3:dustopian_lottoman                                | EntityDustopianLottoman            |    430 |
| Advent Of Ascension         | aoa3:dweller                                           | EntityDweller                      |     96 |
| Advent Of Ascension         | aoa3:dyrehorn                                          | EntityDyrehorn                     |     97 |
| Advent Of Ascension         | aoa3:echodar                                           | EntityEchodar                      |     98 |
| Advent Of Ascension         | aoa3:eeo                                               | EntityEeo                          |     99 |
| Advent Of Ascension         | aoa3:eilosapien                                        | EntityEilosapien                   |    100 |
| Advent Of Ascension         | aoa3:elite_skele_hopper                                | EntityEliteSkeleHopper             |    101 |
| Advent Of Ascension         | aoa3:elite_skele_pig                                   | EntityEliteSkelePig                |    102 |
| Advent Of Ascension         | aoa3:elite_skeleman                                    | EntityEliteSkeleman                |    103 |
| Advent Of Ascension         | aoa3:elkanyne                                          | EntityElkanyne                     |    431 |
| Advent Of Ascension         | aoa3:elusive                                           | EntityElusive                      |    104 |
| Advent Of Ascension         | aoa3:elusive_clone                                     | EntityElusiveClone                 |    105 |
| Advent Of Ascension         | aoa3:embrake                                           | EntityEmbrake                      |    106 |
| Advent Of Ascension         | aoa3:emperor_beast                                     | EntityEmperorBeast                 |    107 |
| Advent Of Ascension         | aoa3:ender_carrier                                     | EntityEnderCarrier                 |    390 |
| Advent Of Ascension         | aoa3:energy_tablet                                     | EntityEnergyTablet                 |    508 |
| Advent Of Ascension         | aoa3:enforcer                                          | EntityEnforcer                     |    108 |
| Advent Of Ascension         | aoa3:eradicator_shot                                   | EntityEradicatorShot               |    600 |
| Advent Of Ascension         | aoa3:everbeast                                         | EntityEverbeast                    |    109 |
| Advent Of Ascension         | aoa3:exohead                                           | EntityExohead                      |    110 |
| Advent Of Ascension         | aoa3:exoid                                             | EntityExoid                        |    111 |
| Advent Of Ascension         | aoa3:expedition_master                                 | EntityExpeditionMaster             |    432 |
| Advent Of Ascension         | aoa3:explodot                                          | EntityExplodot                     |    112 |
| Advent Of Ascension         | aoa3:explosives_expert                                 | EntityExplosivesExpert             |    433 |
| Advent Of Ascension         | aoa3:extraction_master                                 | EntityExtractionMaster             |    434 |
| Advent Of Ascension         | aoa3:eye_creature                                      | EntityEyeCreature                  |    113 |
| Advent Of Ascension         | aoa3:faceless_floater                                  | EntityFacelessFloater              |    114 |
| Advent Of Ascension         | aoa3:faceless_runner                                   | EntityFacelessRunner               |    115 |
| Advent Of Ascension         | aoa3:fake_pigman                                       | EntityFakePigman                   |    116 |
| Advent Of Ascension         | aoa3:fake_tnt                                          | EntityFakeTnt                      |    509 |
| Advent Of Ascension         | aoa3:fake_zorp                                         | EntityFakeZorp                     |    117 |
| Advent Of Ascension         | aoa3:fenix                                             | EntityFenix                        |    118 |
| Advent Of Ascension         | aoa3:fiend                                             | EntityFiend                        |    119 |
| Advent Of Ascension         | aoa3:firefly_shot                                      | EntityFireflyShot                  |    601 |
| Advent Of Ascension         | aoa3:firestorm_fall                                    | EntityFirestormFall                |    602 |
| Advent Of Ascension         | aoa3:fischer                                           | EntityFischer                      |    120 |
| Advent Of Ascension         | aoa3:fishix                                            | EntityFishix                       |    121 |
| Advent Of Ascension         | aoa3:flamewalker                                       | EntityFlamewalker                  |    122 |
| Advent Of Ascension         | aoa3:flash                                             | EntityFlash                        |    123 |
| Advent Of Ascension         | aoa3:flesh_eater                                       | EntityFleshEater                   |    124 |
| Advent Of Ascension         | aoa3:floro_lottoman                                    | EntityFloroLottoman                |    435 |
| Advent Of Ascension         | aoa3:flower_shot                                       | EntityFlowerShot                   |    603 |
| Advent Of Ascension         | aoa3:flowerface                                        | EntityFlowerface                   |    125 |
| Advent Of Ascension         | aoa3:flye                                              | EntityFlye                         |    126 |
| Advent Of Ascension         | aoa3:foraging_master                                   | EntityForagingMaster               |    436 |
| Advent Of Ascension         | aoa3:fragment_shot                                     | EntityFragmentShot                 |    604 |
| Advent Of Ascension         | aoa3:friendly_creeper                                  | EntityFriendlyCreeper              |    391 |
| Advent Of Ascension         | aoa3:fungat                                            | EntityFungat                       |    127 |
| Advent Of Ascension         | aoa3:fungback                                          | EntityFungback                     |    128 |
| Advent Of Ascension         | aoa3:fungik                                            | EntityFungik                       |    129 |
| Advent Of Ascension         | aoa3:fungock                                           | EntityFungock                      |    130 |
| Advent Of Ascension         | aoa3:fungung                                           | EntityFungung                      |    131 |
| Advent Of Ascension         | aoa3:furlion                                           | EntityFurlion                      |    132 |
| Advent Of Ascension         | aoa3:gadgetoid                                         | EntityGadgetoid                    |    133 |
| Advent Of Ascension         | aoa3:ghastus                                           | EntityGhastus                      |    134 |
| Advent Of Ascension         | aoa3:ghost                                             | EntityGhost                        |    135 |
| Advent Of Ascension         | aoa3:ghostine_ancient                                  | EntityGhostineAncient              |    136 |
| Advent Of Ascension         | aoa3:ghostly_bugeye                                    | EntityGhostlyBugeye                |    137 |
| Advent Of Ascension         | aoa3:ghostly_charger                                   | EntityGhostlyCharger               |    138 |
| Advent Of Ascension         | aoa3:ghostly_cyclops                                   | EntityGhostlyCyclops               |    139 |
| Advent Of Ascension         | aoa3:ghostly_goblin                                    | EntityGhostlyGoblin                |    140 |
| Advent Of Ascension         | aoa3:ghostly_night_reaper                              | EntityGhostlyNightReaper           |    141 |
| Advent Of Ascension         | aoa3:ghostly_sasquatch                                 | EntityGhostlySasquatch             |    142 |
| Advent Of Ascension         | aoa3:ghoul_shot                                        | EntityGhoulShot                    |    605 |
| Advent Of Ascension         | aoa3:giant_snail                                       | EntityGiantSnail                   |    143 |
| Advent Of Ascension         | aoa3:gingerbird                                        | EntityGingerbird                   |    144 |
| Advent Of Ascension         | aoa3:gingerbread_man                                   | EntityGingerbreadMan               |    145 |
| Advent Of Ascension         | aoa3:glaring_pixon                                     | EntityGlaringPixon                 |    437 |
| Advent Of Ascension         | aoa3:gleaming_pixon                                    | EntityGleamingPixon                |    438 |
| Advent Of Ascension         | aoa3:glistening_pixon                                  | EntityGlisteningPixon              |    439 |
| Advent Of Ascension         | aoa3:glowing_pixon                                     | EntityGlowingPixon                 |    440 |
| Advent Of Ascension         | aoa3:gnawer                                            | EntityGnawer                       |    392 |
| Advent Of Ascension         | aoa3:goalby                                            | EntityGoalby                       |    146 |
| Advent Of Ascension         | aoa3:goblin                                            | EntityGoblin                       |    147 |
| Advent Of Ascension         | aoa3:gold_shot                                         | EntityGoldShot                     |    606 |
| Advent Of Ascension         | aoa3:golden_lottoman                                   | EntityGoldenLottoman               |    441 |
| Advent Of Ascension         | aoa3:goldorth                                          | EntityGoldorth                     |    148 |
| Advent Of Ascension         | aoa3:goldum                                            | EntityGoldum                       |    149 |
| Advent Of Ascension         | aoa3:goldus                                            | EntityGoldus                       |    150 |
| Advent Of Ascension         | aoa3:goo_ball                                          | EntityGooBall                      |    607 |
| Advent Of Ascension         | aoa3:goofer                                            | EntityGoofer                       |    393 |
| Advent Of Ascension         | aoa3:gorb_arms_dealer                                  | EntityGorbArmsDealer               |    442 |
| Advent Of Ascension         | aoa3:gorb_citizen                                      | EntityGorbCitizen                  |    443 |
| Advent Of Ascension         | aoa3:gorb_engineer                                     | EntityGorbEngineer                 |    444 |
| Advent Of Ascension         | aoa3:gravity_tablet                                    | EntityGravityTablet                |    510 |
| Advent Of Ascension         | aoa3:graw                                              | EntityGraw                         |    151 |
| Advent Of Ascension         | aoa3:graw_shot                                         | EntityGrawShot                     |    608 |
| Advent Of Ascension         | aoa3:green_flower                                      | EntityGreenFlower                  |    152 |
| Advent Of Ascension         | aoa3:green_guardian                                    | EntityGreenGuardian                |    153 |
| Advent Of Ascension         | aoa3:green_guardian_shot                               | EntityGreenGuardianShot            |    609 |
| Advent Of Ascension         | aoa3:green_rune_templar                                | EntityRuneTemplarGreen             |    154 |
| Advent Of Ascension         | aoa3:green_runic_lifeform                              | EntityRunicLifeformGreen           |    155 |
| Advent Of Ascension         | aoa3:grenade                                           | EntityGrenade                      |    610 |
| Advent Of Ascension         | aoa3:grenade_floro_rpg                                 | EntityFloroRPG                     |    611 |
| Advent Of Ascension         | aoa3:grenade_multiplying                               | EntityMultiplyingGrenade           |    612 |
| Advent Of Ascension         | aoa3:grenade_rpg                                       | EntityRPG                          |    613 |
| Advent Of Ascension         | aoa3:grillface                                         | EntityGrillface                    |    156 |
| Advent Of Ascension         | aoa3:grobbler                                          | EntityGrobbler                     |    157 |
| Advent Of Ascension         | aoa3:grocculate                                        | EntityGrocculate                   |    158 |
| Advent Of Ascension         | aoa3:grunt                                             | EntityGrunt                        |    159 |
| Advent Of Ascension         | aoa3:gyro                                              | EntityGyro                         |    160 |
| Advent Of Ascension         | aoa3:gyrocopter                                        | EntityGyrocopter                   |    511 |
| Advent Of Ascension         | aoa3:hag                                               | EntityHag                          |    161 |
| Advent Of Ascension         | aoa3:hag_shot                                          | EntityHagShot                      |    614 |
| Advent Of Ascension         | aoa3:halycon                                           | EntityHalycon                      |    445 |
| Advent Of Ascension         | aoa3:harkos                                            | EntityHarkos                       |    162 |
| Advent Of Ascension         | aoa3:hauling_master                                    | EntityHaulingMaster                |    446 |
| Advent Of Ascension         | aoa3:haunted_lottoman                                  | EntityHauntedLottoman              |    447 |
| Advent Of Ascension         | aoa3:haunter_shot                                      | EntityHaunterShot                  |    615 |
| Advent Of Ascension         | aoa3:headless_destroyer                                | EntityHeadlessDestroyer            |    163 |
