+-------------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| ID                                                                      | Name                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                                            |
| aoa3:abyss/true_illusion                                                | [True Illusion]                                                    | Craft an Ornate Elusive Statue                                                                                                                                                                                                                                                                                                                                                                                   | aoa3:abyss/eluding_the_elusive                                    |
| aoa3:abyss/unwavering_eyes                                              | [Unwavering Eyes]                                                  | Defeat the Elusive, the master of deception                                                                                                                                                                                                                                                                                                                                                                      | aoa3:abyss/the_staring_eye                                        |
| aoa3:ancientcavern/erebons_contender                                    | [Erebon's Contender]                                               | Craft a Gold Penumbra Statue                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:ancientcavern/the_outer_shadow                               |
| aoa3:ancientcavern/erebons_new_champion                                 | [Erebon's New Champion]                                            | Craft an Ornate Penumbra Statue                                                                                                                                                                                                                                                                                                                                                                                  | aoa3:ancientcavern/erebons_contender                              |
| aoa3:ancientcavern/gold_digger                                          | [Gold Digger]                                                      | Defeat Goldorth, champion of Pluton                                                                                                                                                                                                                                                                                                                                                                              | aoa3:ancientcavern/root                                           |
| aoa3:ancientcavern/luxons_contender                                     | [Luxon's Contender]                                                | Craft a Gold Horon Statue                                                                                                                                                                                                                                                                                                                                                                                        | aoa3:ancientcavern/white_knighting                                |
| aoa3:ancientcavern/luxons_new_champion                                  | [Luxon's New Champion]                                             | Craft an Ornate Horon Statue                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:ancientcavern/luxons_contender                               |
| aoa3:ancientcavern/plutons_contender                                    | [Pluton's Contender]                                               | Craft a Gold Goldorth Statue                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:ancientcavern/gold_digger                                    |
| aoa3:ancientcavern/plutons_new_champion                                 | [Pluton's New Champion]                                            | Craft an Ornate Goldorth Statue                                                                                                                                                                                                                                                                                                                                                                                  | aoa3:ancientcavern/plutons_contender                              |
| aoa3:ancientcavern/root                                                 | [Challenger's Arena]                                               | Visit the Ancient Cavern                                                                                                                                                                                                                                                                                                                                                                                         | -                                                                 |
| aoa3:ancientcavern/selyans_contender                                    | [Selyan's Contender]                                               | Craft a Gold Coniferon Statue                                                                                                                                                                                                                                                                                                                                                                                    | aoa3:ancientcavern/tree_feller                                    |
| aoa3:ancientcavern/selyans_new_champion                                 | [Selyan's New Champion]                                            | Craft an Ornate Coniferon Statue                                                                                                                                                                                                                                                                                                                                                                                 | aoa3:ancientcavern/selyans_contender                              |
| aoa3:ancientcavern/the_outer_shadow                                     | [The Outer Shadow]                                                 | Defeat Penumbra, champion of Erebon                                                                                                                                                                                                                                                                                                                                                                              | aoa3:ancientcavern/root                                           |
| aoa3:ancientcavern/tree_feller                                          | [Tree Feller]                                                      | Defeat Coniferon, champion of Selyan                                                                                                                                                                                                                                                                                                                                                                             | aoa3:ancientcavern/root                                           |
| aoa3:ancientcavern/white_knighting                                      | [White Knighting]                                                  | Defeat Horon, champion of Luxon                                                                                                                                                                                                                                                                                                                                                                                  | aoa3:ancientcavern/root                                           |
| aoa3:barathos/daddy_issues                                              | [Daddy Issues]                                                     | Defeat the Hive King with a Hive Soldier                                                                                                                                                                                                                                                                                                                                                                         | aoa3:barathos/hive_monarch_down                                   |
| aoa3:barathos/exterminator                                              | [Exterminator]                                                     | Craft an ornate Hive King Statue                                                                                                                                                                                                                                                                                                                                                                                 | aoa3:barathos/living_insecticide                                  |
| aoa3:barathos/hive_minded                                               | [Hive Minded]                                                      | Obtain a Hive Egg                                                                                                                                                                                                                                                                                                                                                                                                | aoa3:barathos/root                                                |
| aoa3:barathos/hive_monarch_down                                         | [Hive-Monarch Down]                                                | Defeat Hive King, the swarm leader                                                                                                                                                                                                                                                                                                                                                                               | aoa3:barathos/hive_minded                                         |
| aoa3:barathos/lighter_than_a_duck                                       | [Lighter Than a Duck]                                              | Defeat Baroness, the archwitch                                                                                                                                                                                                                                                                                                                                                                                   | aoa3:barathos/the_dark_gem                                        |
| aoa3:barathos/living_insecticide                                        | [Living Insecticide]                                               | Craft a Gold Hive King Statue                                                                                                                                                                                                                                                                                                                                                                                    | aoa3:barathos/hive_monarch_down                                   |
| aoa3:barathos/root                                                      | [Barren Ground]                                                    | Visit Barathos                                                                                                                                                                                                                                                                                                                                                                                                   | -                                                                 |
| aoa3:barathos/the_dark_gem                                              | [The Dark Gem]                                                     | Obtain a Warlock Gem                                                                                                                                                                                                                                                                                                                                                                                             | aoa3:barathos/root                                                |
| aoa3:barathos/to_hogwarts_with_you                                      | [To Hogwarts With You]                                             | Craft an Ornate Baroness Statue                                                                                                                                                                                                                                                                                                                                                                                  | aoa3:barathos/witch_hunt                                          |
| aoa3:barathos/witch_hunt                                                | [Witch Hunt]                                                       | Craft a Gold Baroness Statue                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:barathos/lighter_than_a_duck                                 |
| aoa3:candyland/caramelized                                              | [Caramelized]                                                      | Craft an Ornate Cotton Candor Statue                                                                                                                                                                                                                                                                                                                                                                             | aoa3:candyland/dental_nightmare                                   |
| aoa3:candyland/dental_nightmare                                         | [Dental Nightmare]                                                 | Craft a Gold Cotton Candor Statue                                                                                                                                                                                                                                                                                                                                                                                | aoa3:candyland/no_treat_only_trick                                |
| aoa3:candyland/no_treat_only_trick                                      | [No Treat, Only Trick]                                             | Defeat Cotton Candor, the sweet giant                                                                                                                                                                                                                                                                                                                                                                            | aoa3:candyland/trick_or_treat                                     |
| aoa3:candyland/root                                                     | [Sweet Things Abound]                                              | Visit the Candyland                                                                                                                                                                                                                                                                                                                                                                                              | -                                                                 |
| aoa3:candyland/trick_or_treat                                           | [Trick or Treat!]                                                  | Obtain a Treat Bag                                                                                                                                                                                                                                                                                                                                                                                               | aoa3:candyland/root                                               |
| aoa3:candyland/when_push_comes_to_shove                                 | [When Push Comes to Shove]                                         | Finish off Cotton Candor with a Wind Staff                                                                                                                                                                                                                                                                                                                                                                       | aoa3:candyland/no_treat_only_trick                                |
| aoa3:celeve/clown_hatred                                                | [Clown Hatred]                                                     | Defeat Gyro, the final act                                                                                                                                                                                                                                                                                                                                                                                       | aoa3:celeve/soi_soi_soi                                           |
| aoa3:celeve/die_clown_die                                               | [Die Clown, Die.]                                                  | Craft an Ornate Gyro Statue                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:celeve/i_hate_clowns                                         |
| aoa3:celeve/i_hate_clowns                                               | [I. Hate. Clowns.]                                                 | Craft a Gold Gyro Statue                                                                                                                                                                                                                                                                                                                                                                                         | aoa3:celeve/clown_hatred                                          |
| aoa3:celeve/root                                                        | [Funny, or Scary?]                                                 | Visit Celeve                                                                                                                                                                                                                                                                                                                                                                                                     | -                                                                 |
| aoa3:celeve/soi_soi_soi                                                 | [Soi Soi Soi]                                                      | Obtain a Toy Gyrocopter                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:celeve/root                                                  |
| aoa3:completionist/actually_half_way_there                              | [Actually Half Way There]                                          | Reach level 93 in any skill                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:completionist/half_way_there                                 |
| aoa3:completionist/alchemy_mastery                                      | [Alchemy Mastery]                                                  | Reach level 100 Alchemy                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/an_unbalanced_diet                                   | [An Unbalanced Diet]                                               | Consume one of every food in the mod                                                                                                                                                                                                                                                                                                                                                                             | aoa3:completionist/root                                           |
| aoa3:completionist/anima_mastery                                        | [Anima Mastery]                                                    | Reach level 100 Anima                                                                                                                                                                                                                                                                                                                                                                                            | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/augury_mastery                                       | [Augury Mastery]                                                   | Reach level 100 Augury                                                                                                                                                                                                                                                                                                                                                                                           | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/basically_poseidon                                   | [Basically Poseidon]                                               | Obtain a Tidal Greatblade                                                                                                                                                                                                                                                                                                                                                                                        | aoa3:completionist/root                                           |
| aoa3:completionist/better_than_a_spoon                                  | [Better Than a Spoon]                                              | Obtain an Occult Shovel                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:completionist/root                                           |
| aoa3:completionist/butchery_mastery                                     | [Butchery Mastery]                                                 | Reach level 100 Butchery                                                                                                                                                                                                                                                                                                                                                                                         | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/cowboy_bebop                                         | [Cowboy Bebop]                                                     | Obtain an Outlaw music disc.                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:completionist/root                                           |
| aoa3:completionist/creation_mastery                                     | [Creation Mastery]                                                 | Reach level 100 Creation                                                                                                                                                                                                                                                                                                                                                                                         | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/engineering_mastery                                  | [Engineering Mastery]                                              | Reach level 100 Engineering                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/expedition_mastery                                   | [Expedition Mastery]                                               | Reach level 100 Expedition                                                                                                                                                                                                                                                                                                                                                                                       | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/expensive_curtains                                   | [Expensive Curtains]                                               | Obtain one of each Bejewelled Banner                                                                                                                                                                                                                                                                                                                                                                             | aoa3:completionist/root                                           |
| aoa3:completionist/extraction_mastery                                   | [Extraction Mastery]                                               | Reach level 100 Extraction                                                                                                                                                                                                                                                                                                                                                                                       | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/foraging_mastery                                     | [Foraging Mastery]                                                 | Reach level 100 Foraging                                                                                                                                                                                                                                                                                                                                                                                         | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/green_thumb                                          | [Green Thumb]                                                      | Obtain a Gardener                                                                                                                                                                                                                                                                                                                                                                                                | aoa3:completionist/root                                           |
| aoa3:completionist/half_way_there                                       | [Half Way There]                                                   | Reach level 50 in any skill                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:completionist/my_first_level                                 |
| aoa3:completionist/hauling_mastery                                      | [Hauling Mastery]                                                  | Reach level 100 Hauling                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/high_flying_spelunker                                | [High-Flying Spelunker]                                            | Obtain a Caverns music disc.                                                                                                                                                                                                                                                                                                                                                                                     | aoa3:completionist/root                                           |
| aoa3:completionist/hunter_mastery                                       | [Hunter Mastery]                                                   | Reach level 100 Hunter                                                                                                                                                                                                                                                                                                                                                                                           | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/infusion_mastery                                     | [Infusion Mastery]                                                 | Reach level 100 Infusion                                                                                                                                                                                                                                                                                                                                                                                         | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/innervation_mastery                                  | [Innervation Mastery]                                              | Reach level 100 Innervation                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/its_a_rainbow                                        | [It's a Rainbow!]                                                  | Obtain a Colour Cannon                                                                                                                                                                                                                                                                                                                                                                                           | aoa3:completionist/root                                           |
| aoa3:completionist/logging_mastery                                      | [Logging Mastery]                                                  | Reach level 100 Logging                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:completionist/actually_half_way_there                        |
| aoa3:completionist/medusa_bling                                         | [Medusa, Bling!]                                                   | Obtain one of every gold boss statue                                                                                                                                                                                                                                                                                                                                                                             | aoa3:completionist/medusa_light                                   |
| aoa3:completionist/medusa_light                                         | [Medusa, Light]                                                    | Obtain one of every boss statue                                                                                                                                                                                                                                                                                                                                                                                  | aoa3:completionist/root                                           |
| aoa3:completionist/monster_blaster                                      | [Monster Blaster]                                                  | Obtain Experiment W-801                                                                                                                                                                                                                                                                                                                                                                                          | aoa3:completionist/root                                           |
