+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
| Name                           | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                               |
| cloud_seed                     |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                      |
| cloud_seed_concentrated        |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated         |
| coal                           |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                                   |
| cobalt                         |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                            |
| concrete                       |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete                  |
| conductive_iron                |    9000 |        1400 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_conductive_iron                 |
| constantan                     |    1000 |         650 |      1000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan              |
| construction_alloy             |    9000 |         563 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_construction_alloy              |
| copper                         |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                            |
| creosote                       |    1100 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote                  |
| crude_oil                      |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil                   |
| crude_steel                    |    9000 |         413 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crude_steel                     |
| cryotheum                      |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum                   |
| crystalline_alloy              |    9000 |        1425 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_alloy               |
| crystalline_pink_slime         |    9000 |        1447 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_pink_slime          |
| crystaloil                     |    1000 |         300 |      1000 |          0 | RARE     |     false | actuallyadditions:block_crystal_oil                 |
| cyanite                        |     100 |         295 |       100 |          6 | UNCOMMON |     false | bigreactors:cyanite                                 |
| dark_steel                     |    9000 |        1813 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_dark_steel                      |
| dark_water                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | midnight:dark_water                                 |
| dirt                           |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                              |
| ec.internal.brine              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.chlorine           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleancopper        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleangold          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleaniron          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleanlead          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleanosmium        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleansilver        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.cleantin           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.copper             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.deuterium          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.ethene             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.fusionfuel         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.gold               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.hydrogen           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.hydrogenchloride   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.iron               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.lead               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.liquidosmium       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.lithium            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.osmium             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.oxygen             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.silver             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.sodium             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.sulfurdioxide      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.sulfuricacid       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.sulfurtrioxide     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.tin                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.tritium            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| ec.internal.water              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| elecanium                      |    2000 |         970 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_elecanium                         |
| electrical_steel               |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_electrical_steel                |
| electricium                    |    2000 |         800 |     10000 |         12 | COMMON   |     false | lightningcraft:molten_electricium                   |
| electrum                       |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum                          |
| emberstone                     |    2000 |        1100 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emberstone                        |
| emerald                        |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emerald                           |
| empoweredoil                   |    1000 |         300 |      1000 |          0 | EPIC     |     false | actuallyadditions:block_empowered_oil               |
| end_steel                      |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_end_steel                       |
| ender                          |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender                       |
| ender_distillation             |     200 |         175 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_ender_distillation              |
| enderium                       |    1000 |        1600 |      1000 |          0 | RARE     |     false | -                                                   |
| energetic_alloy                |    9000 |        1128 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_energetic_alloy                 |
| energetic_silver               |    9000 |        1128 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_energetic_silver                |
| essence                        |    3000 |         300 |      6000 |         15 | COMMON   |     false | industrialforegoing:essence                         |
| eternal_fabric                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | dimdoors:eternal_fabric                             |
| ethanol                        |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidethanol                   |
| experience                     |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                                   |
| fiery_essence                  |    1000 |        1000 |      1000 |          0 | COMMON   |     false | twilightforest:fiery_essence                        |
| fierymetal                     |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_fierymetal                    |
| fire_water                     |     900 |        2000 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_fire_water                      |
| fog                            |       2 |         300 |        10 |          0 | COMMON   |      true | -                                                   |
| for.honey                      |    1420 |         295 |     75600 |          0 | COMMON   |     false | forestry:fluid.for.honey                            |
| formic_acid                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | erebus:formic_acid                                  |
| frozen_water_fluid             |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:frozen_water                           |
| fuel                           |     400 |         300 |       900 |          0 | COMMON   |     false | galacticraftcore:fuel                               |
| fuelcolumn                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| fuelgc                         |     400 |         300 |       900 |          0 | COMMON   |     false | -                                                   |
| fueltonium                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | zollerngalaxy:fluid_fueltonium                      |
| gaseous_cheese_milk            |   -1000 |         300 |      1000 |          0 | COMMON   |      true | moreplanets:gaseous_cheese_milk                     |
| ghastly                        |    2000 |         690 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_ghastly                           |
| ghoulish                       |    2000 |         680 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_ghoulish                          |
| glacium                        |    5000 |       -1500 |      6000 |         10 | COMMON   |     false | glacidus:glacium                                    |
| glass                          |    2400 |        1200 |     10000 |          0 | COMMON   |     false | forestry:fluid.glass                                |
| glowstone                      |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone                   |
| glowstone_fluid                |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:glowstone                              |
| gold                           |    2000 |         532 |     10000 |         10 | RARE     |     false | tconstruct:molten_gold                              |
| heavywater                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| helium                         |       1 |         295 |         1 |          0 | COMMON   |      true | -                                                   |
| helium_gas                     |   -2000 |         300 |      1000 |          0 | COMMON   |      true | moreplanets:helium_gas                              |
| honey                          |    1000 |         300 |      1500 |          0 | COMMON   |     false | biomesoplenty:honey                                 |
| hootch                         |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_hootch                          |
| hot_spring_water               |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:hot_spring_water                      |
| hydrogen                       |       1 |         295 |         1 |          0 | COMMON   |      true | -                                                   |
| ice                            |     520 |         265 |      1000 |          0 | COMMON   |     false | forestry:fluid.ice                                  |
| ichor                          |    1000 |         300 |      3500 |          0 | COMMON   |     false | netherex:ichor                                      |
| if.ore_fluid_fermented         |    3000 |         300 |      6000 |          0 | COMMON   |     false | -                                                   |
| if.ore_fluid_raw               |    3000 |         300 |      6000 |          0 | COMMON   |     false | -                                                   |
| if.pink_slime                  |    3000 |         300 |      6000 |          0 | COMMON   |     false | industrialforegoing:if.pink_slime                   |
| if.protein                     |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:if.protein                      |
| infected_purlonite_lava_fluid  |    3000 |        1300 |      6000 |         15 | COMMON   |     false | moreplanets:infected_purlonite_lava_fluid           |
| infected_purlonite_water_fluid |    1000 |         300 |      1000 |          0 | COMMON   |     false | moreplanets:infected_purlonite_water_fluid          |
| infected_water_fluid           |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:infected_water                         |
| infected_water_fluid_mp        |    1000 |         300 |      1000 |          0 | COMMON   |     false | moreplanets:infected_water_fluid_mp                 |
| inferium                       |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_inferium                |
| intermedium                    |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_intermedium             |
| invar                          |    1000 |        1400 |      1000 |          0 | COMMON   |     false | -                                                   |
| iridium                        |    1000 |        1400 |      1000 |          0 | UNCOMMON |     false | -                                                   |
| iron                           |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iron                              |
| juice                          |    1000 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.juice                                |
| knightmetal                    |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_knightmetal                   |
| knightslime                    |    2000 |         520 |     10000 |         10 | EPIC     |     false | tconstruct:molten_knightslime                       |
| latex                          |    3000 |         375 |      6000 |          0 | COMMON   |     false | industrialforegoing:latex                           |
| lava                           |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                                      |
| lead                           |    2000 |         400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lead                              |
| limonite                       |    2000 |         650 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_limonite                          |
| liquid_aura                    |    1000 |         300 |      1500 |          0 | COMMON   |     false | gaiadimension:liquid_aura_block                     |
| liquid_bismuth                 |    2500 |         300 |      3500 |          0 | COMMON   |     false | gaiadimension:liquid_bismuth_block                  |
| liquid_caramel_fluid           |    1000 |         300 |       300 |          0 | COMMON   |     false | extraplanets:liquid_caramel                         |
| liquid_chocolate_fluid         |    1000 |         300 |       300 |          0 | COMMON   |     false | extraplanets:liquid_chocolate                       |
| liquid_hydrocarbon_fluid       |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:liquid_hydrocarbon                     |
| liquid_sunshine                |     200 |         300 |       400 |          0 | COMMON   |     false | enderio:block_fluid_liquid_sunshine                 |
| liquidalternate                |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidalternate      |
| liquidargon                    |     900 |          87 |       100 |          0 | COMMON   |     false | -                                                   |
| liquidbone                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidbone           |
| liquidbookshelf                |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidbookshelf      |
| liquidbrick                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidbrick          |
| liquidchlorine                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidchorus                   |    1500 |         300 |      3000 |          0 | EPIC     |     false | integrateddynamics:block_liquid_chorus              |
| liquidclay                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidclay           |
| liquidclaynormal               |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidclaynormal     |
| liquidcoal                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidcoal           |
| liquidcobblestone              |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidcobblestone    |
| liquidconcrete                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidconcrete       |
| liquiddeuterium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquiddiamond                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquiddiamond        |
| liquidemerald                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidemerald        |
| liquidendstone                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidendstone       |
| liquidendstonebricks           |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidendstonebricks |
| liquidethene                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidflint                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidflint          |
| liquidfusionfuel               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidglass                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidglass          |
| liquidglowstone                |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidglowstone      |
| liquidgold                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidgold           |
| liquidhydrogen                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidhydrogenchloride         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidiron                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidiron           |
| liquidjackolantern             |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidjackolantern   |
| liquidlapis                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidlapis          |
| liquidlithium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidmelon                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidmelon          |
| liquidmethane                  |     450 |         109 |       120 |          0 | COMMON   |     false | -                                                   |
| liquidnetherbrick              |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidnetherbrick    |
| liquidnetherwart               |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidnetherwart     |
| liquidnitrogen                 |     808 |          90 |       130 |          0 | COMMON   |     false | -                                                   |
| liquidobsidian                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidobsidian       |
| liquidoxygen                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidpumpkin                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidpumpkin        |
| liquidpurpur                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidpurpur         |
| liquidquartz                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidquartz         |
| liquidrednetherbrick           |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidrednetherbrick |
| liquidredsandstone             |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidredsandstone   |
| liquidredstone                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidredstone       |
| liquidredstonelamp             |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidredstonelamp   |
| liquidsandstone                |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidsandstone      |
| liquidslime                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidslime          |
| liquidsodium                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidsoulsand                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidsoulsand       |
| liquidsponge                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidsponge         |
| liquidstone                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidstone          |
| liquidstonebrick               |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidstonebrick     |
| liquidsulfurdioxide            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidsulfurtrioxide           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidtritium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| liquidwheat                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidwheat          |
| liquidwood                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidwood           |
| liquidwool                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | lockyzextradimensionsmod:fluid.liquidwool           |
| lumium                         |    1000 |        1000 |      1000 |          0 | UNCOMMON |     false | -                                                   |
| lunar                          |    2000 |         805 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lunar                             |
| lyon                           |    2000 |         820 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lyon                              |
| magma_fluid                    |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:magma                                  |
| mana                           |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana                        |
| manyullyn                      |    2000 |        1000 |     10000 |         10 | RARE     |     false | tconstruct:molten_manyullyn                         |
| meat                           |    3000 |         375 |      6000 |          0 | COMMON   |     false | industrialforegoing:meat                            |
| melodic_alloy                  |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_melodic_alloy                   |
| menrilresin                    |    1500 |         300 |      3000 |          0 | RARE     |     false | integrateddynamics:block_menril_resin               |
| methane                        |       1 |         295 |        11 |          0 | COMMON   |      true | -                                                   |
| methane_fluid                  |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:methane                                |
| miasma                         |    3000 |         400 |      3000 |         15 | COMMON   |     false | midnight:miasma                                     |
| milk                           |    1030 |         295 |      3000 |          0 | COMMON   |     false | forestry:fluid.milk                                 |
| mineral_water                  |    1000 |         300 |       750 |          0 | COMMON   |     false | gaiadimension:mineral_water_block                   |
| mist.acid                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | mist:acid_block                                     |
| molten_reinforced_pink_slime   |    2000 |        1000 |     10000 |         10 | COMMON   |     false | -                                                   |
| mudfluid                       |    3000 |         295 |      4000 |          0 | COMMON   |     false | thejungle:mud_block                                 |
| mushroom_stew                  |    2000 |         300 |      2000 |          0 | COMMON   |     false | -                                                   |
| mystic                         |    2000 |        1000 |     10000 |         12 | COMMON   |     false | lightningcraft:molten_mystic                        |
| mystite                        |    2000 |         730 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_mystite                           |
| nickel                         |    2000 |         727 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_nickel                            |
| nitrogen                       |       1 |         295 |        12 |          0 | COMMON   |      true | -                                                   |
| nitrogen_fluid                 |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:nitrogen                               |
| nitrogen_ice_fluid             |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:nitrogen_ice                           |
| nuclear_waste_fluid            |    3000 |        2600 |      8000 |         15 | COMMON   |     false | moreplanets:nuclear_waste_fluid                     |
| nutrient_distillation          |    1500 |         300 |      3000 |          0 | COMMON   |     false | enderio:block_fluid_nutrient_distillation           |
| obsidian                       |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_obsidian                          |
| oil                            |     800 |         300 |      1500 |          0 | COMMON   |     false | galacticraftcore:crude_oil_still                    |
| oilgc                          |     800 |         300 |      1500 |          0 | COMMON   |     false | -                                                   |
| oxygen                         |       1 |         295 |        13 |          0 | COMMON   |      true | -                                                   |
| petrotheum                     |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum                  |
| pigiron                        |    2000 |         600 |     10000 |         10 | EPIC     |     false | tconstruct:molten_pigiron                           |
| plantoil                       |     925 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidplantoil                  |
| platinum                       |    1000 |        1400 |      1000 |          0 | UNCOMMON |     false | -                                                   |
| poison                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:poison                                |
| potion                         |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                   |
| potion_lingering               |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                   |
| potion_splash                  |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                   |
| pressurizedfluid               |       1 |          80 |       500 |          0 | COMMON   |     false | exoplanets:pressurizedfluid                         |
| prudentium                     |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_prudentium              |
| pulsating_iron                 |    9000 |        1405 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_pulsating_iron                  |
| pure_matter                    |    3000 |         300 |      6000 |          0 | EPIC     |     false | -                                                   |
| pure_metal                     |    1600 |         600 |      1500 |         10 | COMMON   |     false | -                                                   |
| purified_water_fluid           |    1000 |         300 |      1000 |          0 | COMMON   |     false | moreplanets:purified_water_fluid                    |
| purpleslime                    |    1600 |         370 |      1600 |          0 | COMMON   |     false | tconstruct:purpleslime                              |
| pyrotheum                      |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum                   |
| radioactive_water_fluid        |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:radioactive_water                      |
| radium                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | zollerngalaxy:fluid_radium                          |
| redstone                       |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone                    |
| redstone_alloy                 |    9000 |        1357 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_redstone_alloy                  |
| refined_biofuel                |     750 |         300 |       800 |          0 | COMMON   |     false | -                                                   |
| refined_fuel                   |     750 |         300 |       800 |          0 | COMMON   |     false | -                                                   |
| refined_oil                    |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                                   |
